'李四', '大宝', '19888.726', '450.987', '2023-01-03 15:50:57'
'刘七', '七七爷', '17732.52915', '275.678', '2023-09-04 11:36:30'
'陈八', '小八儿', '17850.82845', '1400.567', '2023-09-05 07:22:03'
'张三', '小逗比', '16449.45855', '1300.666', '2023-09-01 07:31:23'
'林十', '十十哥', '18550.33635', '320.456', '2023-09-06 22:53:09'
'郑十一', '小十一', '18900.654', '380.789', ''
'周十二', '十二哥', '20222.345', '420.123', '2023-09-08 14:24:15'
'王五', '小王子', '23500.452', '1000.0', '2023-09-02 20:05:24'
'赵六', '小六子', '19949.883449999998', '350.234', '2023-09-03 15:50:57'
'黄九', '九九仔', '24888.312', '550.89', '2023-09-06 03:07:36'
'', '小逗比', '16449.45855', '300.666', '2023-09-01 07:31:23'
