name,nickname,age,salary,subsidy,time,DaysOnDuty
郑十一, 小十一, 24, 18900.654, 380.789, 0, 19838
, 小逗比, 20, 15666.151, 300.666, 1693524683000, 237
李四, 小四, 22, 15644.1, 300.0, 1693524683000, 237
包子, 小包子, 29, 17722.1, 300.0, 1693524683000, 237
张三, 小逗比, 20, 15666.151, 300.666, 1693524683000, 237
饺子, 小饺子, 35, 21211.1, 300.0, 1693524683000, 237
王五, 小王子, 30, 23500.452, 0.0, 1693656324000, 235
赵六, 小六子, 28, 18999.889, 350.234, 1693727457000, 235
刘七, 七七爷, 22, 16888.123, 275.678, 1693798590000, 234
陈八, 小八儿, 29, 17000.789, 400.567, 1693869723000, 233
黄九, 九九仔, 32, 24888.312, 550.89, 1693940856000, 232
林十, 十十哥, 27, 17666.987, 320.456, 1694011989000, 231
周十二, 十二哥, 26, 20222.345, 420.123, 1694154255000, 230
李四,王五,郑十一,,包子,饺子,黄九,林十
